Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Tillie Linen Short,Tuscan Sun,https://www.thereformation.com/products/tillie-linen-short/1315715TCS.html?dwvar_1315715TCS_color=TCS,T21S3A14S21N,$98,$49
Tillie Linen Short,White,https://www.thereformation.com/products/tillie-linen-short/1315715TCS.html?dwvar_1315715TCS_color=WHT,W8I20E,$98,$49
Brielle Skirt,Cream,https://www.thereformation.com/products/brielle-skirt/1313795PNK.html?dwvar_1313795PNK_color=CRM,C18E1M,$168,$84
Brielle Skirt,Pink,https://www.thereformation.com/products/brielle-skirt/1313795PNK.html?dwvar_1313795PNK_color=PNK,P9N11,$168,$84
Remi Dress,Fresno,https://www.thereformation.com/products/remi-dress/1307173RLO.html?dwvar_1307173RLO_color=FNO,F18E19N15,$218,$109
Remi Dress,Lover,https://www.thereformation.com/products/remi-dress/1307173RLO.html?dwvar_1307173RLO_color=RLO,L15V5R,$218,$109
Amorette Linen Dress,Delicacy,https://www.thereformation.com/products/amorette-linen-dress/1314861DCY.html?dwvar_1314861DCY_color=DCY,D5L9C1C25,$198,$99
Amorette Linen Dress,Sunflower,https://www.thereformation.com/products/amorette-linen-dress/1314861DCY.html?dwvar_1314861DCY_color=SFW,S21N6L15W5R,$198,$99
Dasha Silk Dress,Algae Bloom,https://www.thereformation.com/products/dasha-silk-dress/1315938ALG.html?dwvar_1315938ALG_color=ALG,A12G1E2L15O13,$348,$104.40
Dasha Silk Dress,Morel,https://www.thereformation.com/products/dasha-silk-dress/1315938ALG.html?dwvar_1315938ALG_color=MOR,M15R5L,$348,$104.40
