Product Name,Product URL,Scraped Image URL
Openwork linen maxi dress,https://us.sandro-paris.com/en/p/openwork-linen-maxi-dress/MFPRO03627_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw894b9849/images/hi-res/Maje_MFPRO03627-10_F_1.jpg?sw=720&sh=955
Paradisio printed t-shirt,https://us.sandro-paris.com/en/p/paradisio-printed-t-shirt/MFPTS00857_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw686c0145/images/hi-res/Maje_MFPTS00857-0101_H_1.jpg?sw=720&sh=955
Saint Honoré T-shirt,https://us.sandro-paris.com/en/p/saint-honore-t-shirt/MFPTS00836_F024.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw77c9b8a8/images/hi-res/Maje_MFPTS00836-F024_H_1.jpg?sw=720&sh=955
Saint Honoré cropped sweater,https://us.sandro-paris.com/en/p/saint-honore-cropped-sweater/MFPSW00166_0505.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw0f9a8c3b/images/hi-res/Maje_MFPSW00166-0505_H_1.jpg?sw=720&sh=955
Rhinestone T-shirt,https://us.sandro-paris.com/en/p/rhinestone-t-shirt/MFPTS00791_F035.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw53fb8427/images/hi-res/Maje_MFPTS00791-F035_H_1.jpg?sw=720&sh=955
Cropped sweatshirt,https://us.sandro-paris.com/en/p/cropped-sweatshirt/MFPSW00165_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw14aeaede/images/hi-res/Maje_MFPSW00165-0101_H_1.jpg?sw=720&sh=955
Short bomber jacket,https://us.sandro-paris.com/en/p/short-bomber-jacket/MFPBL00715_F035.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw48b456db/images/hi-res/Maje_MFPBL00715-F035_H_1.jpg?sw=720&sh=955
Dress with beaded ties,https://us.sandro-paris.com/en/p/dress-with-beaded-ties/MFPRO03570_2517.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwadf3677a/images/hi-res/Maje_MFPRO03570-2517_H_1.jpg?sw=720&sh=955
Cropped cotton shirt,https://us.sandro-paris.com/en/p/cropped-cotton-shirt/MFPCM00529_10.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa3c6eaeb/images/hi-res/Maje_MFPCM00529-10_H_1.jpg?sw=720&sh=955
Cargo trousers with pockets,https://us.sandro-paris.com/en/p/cargo-trousers-with-pockets/MFPPA00608_0130.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwc7a9a5f3/images/hi-res/Maje_MFPPA00608-0130_H_1.jpg?sw=720&sh=955
Belted long shirt,https://us.sandro-paris.com/en/p/belted-long-shirt/MFPCM00540_0130.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwd9f07629/images/hi-res/Maje_MFPCM00540-0130_H_1.jpg?sw=720&sh=955
Striped shirt dress,https://us.sandro-paris.com/en/p/striped-shirt-dress/MFPRO03476_0183.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw26e5d34f/images/hi-res/Maje_MFPRO03476-0183_H_1.jpg?sw=720&sh=955
Cutaway wrap dress,https://us.sandro-paris.com/en/p/cutaway-wrap-dress/MFPRO03637_0020.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw52315782/images/hi-res/Maje_MFPRO03637-0020_H_1.jpg?sw=720&sh=955
